activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2019,5493003KZFGGEWCRH554,99999,GA,13257.0,13257970100.0,C,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,4,1,1,2,2,2,235000.0,,4.0,,2,8107.61,,,2228.79,,360,,,2,2,2,2,235000.0,1,1,3,5,1,,51.0,,9,9,4.0,,,,,5.0,,,,,3,4,7.0,,,,,8.0,,,,,3,4,4,5,3,4,25-34,9999,No,,3,3,6,,,,,10,,,,6741,19.51,49700,128,1522,2799,33
2019,549300HW662MN1WU8550,26620,AL,1083.0,1083020802.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,135000.0,95.0,4.375,0.46,2,1444.5,,0.0,,,360,,,2,2,2,2,145000,1,1,3,5,1,,33.0,40,3,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,2,2,1,,,,,10,,,,7988,10.77,84900,105,2613,3276,15
2019,549300HXQLIV5UBQEF05,99999,IL,17025.0,17025972000.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,31,1,1111,1111,1111,35000.0,Exempt,Exempt,Exempt,3,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,Exempt,1111,1111,1111,1111,Exempt,1,1,1111,1111,1,Exempt,100.0,Exempt,1111,1111,2.0,,,,,2.0,,,,,1,1,5.0,,,,,5.0,,,,,1,1,1,2,1,1,35-44,35-44,No,No,1111,1111,1111,,,,,1111,,,,2670,1.72,64200,89,941,1235,41
2019,54930097J3TUZXBXXE75,28420,WA,53005.0,53005010814.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,2,2,2,2,2,75000.0,77.82,5.25,1.764,2,779.16,,0.0,,387.16,180,,,2,2,2,2,475000,1,1,3,5,1,,110.0,20%-<30%,8,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,No,,1,1,6,,,,,10,,,,2946,7.98,78000,180,870,1030,14
2019,549300OWUY97LHFQ0512,0,,,,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,31,1,2,2,2,5000.0,,,,3,,,,,,,,,2,2,2,2,,1,1,3,5,1,,30.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,3,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,0,0.0,0,0,0,0,0
2019,254900HA4DQWAE0W3342,19740,CO,8059.0,8059009808.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,1,1,1,2,2,2,415000.0,,4.25,,3,2839.1,,875.0,,,360,,,2,2,2,2,515000.0,1,1,3,5,1,,218.0,,9,9,4.0,,,,,4.0,,,,,3,3,7.0,,,,,7.0,,,,,3,3,4,4,3,3,45-54,45-54,No,No,3,3,6,,,,,1111,,,,5339,12.1,92800,130,1729,2545,32
2019,KB1H1DSPRFMYMCUFXT09,35004,NY,36103.0,36103158304.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,3,2,1,1,1,2,2,2,305000.0,,3.375,,2,5680.34,,1760.0,,,180,,,2,2,2,2,375000.0,1,1,3,5,1,,231.0,,9,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,35-44,No,No,3,3,6,,,,,10,,,,7443,15.57,124000,121,2238,2498,42
2019,254900FL0I8OUMMBOZ11,38060,AZ,4013.0,4013071702.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Native Hawaiian or Other Pacific Islander,Male,1,0,2,1,31,1,2,2,1,125000.0,85.0,11.0,,3,,,,,,11.0,,,2,1,1,2,145000.0,1,3,3,5,1,,,,9,10,3.0,,,,,5.0,,,,,2,4,5.0,44.0,,,,8.0,,,,,2,4,1,5,2,4,8888,9999,,,1,1,6,,,,,10,,,,3031,8.019999999999998,72900,65,1701,2620,49
2019,549300NOCASXPA34X033,15180,TX,48061.0,48061011400.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Male,3,0,2,1,32,1,2,2,2,115000.0,80.0,,,3,,,,,,360.0,,,2,2,2,2,145000.0,1,1,3,5,1,,,,9,10,3.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,1,5,2,4,55-64,9999,Yes,,1,2,6,,,,,7,,,,7046,90.41,44000,123,1686,2246,32
2019,B4TYDEB6GKMZO031MB27,22744,FL,12011.0,12011040205.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,4,0,2,1,2,2,2,1,2,105000.0,,,,3,,,,,,360,36,1,2,2,2,2,,1,1,3,5,1,,160.0,,9,9,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,1,5,2,4,35-44,9999,No,,1,1,6,,,,,10,,,,4961,25.06,68600,173,1389,1705,49
2019,549300CY7WNAHKHYSJ73,99999,WA,53037.0,53037975300.0,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,615000.0,77.22,3.875,0.437,2,25867.65,,21239.25,13126.89,,369,,,2,1,2,2,805000.0,1,1,3,5,1,,151.0,20%-<30%,2,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,2,1,2,2,25-34,25-34,No,No,1,1,1,,,,,10,,,,4562,5.09,63500,110,1412,2038,20
2019,549300YOESI1GLKRL151,16740,SC,45091.0,45091061602.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,9,2,2,1,1,2,2,2,145000.0,,5.125,,2,6523.85,,2050.0,1115.0,21.6,360,,,2,2,2,2,205000.0,1,1,3,5,1,,,,9,9,4.0,,,,,5.0,,,,,3,4,7.0,,,,,8.0,,,,,3,4,4,5,3,4,8888,9999,,,3,3,6,,,,,10,,,,5616,42.5,70700,76,1082,1860,39
